date,total_deaths,new_deaths
03/09/20,0,0
03/10/20,0,0
03/11/20,0,0
03/12/20,0,0
03/13/20,0,0
03/14/20,0,0
03/15/20,0,0
03/16/20,0,0
03/17/20,0,0
03/18/20,0,0
03/19/20,0,0
03/20/20,1,1
03/21/20,1,0
03/22/20,5,4
03/23/20,9,4
03/24/20,11,2
03/25/20,15,4
03/26/20,25,10
03/27/20,35,10
03/28/20,45,10
03/29/20,48,3
03/30/20,56,8
03/31/20,89,33
04/01/20,122,33
04/02/20,154,32
