date,total_cases,new_cases
03/09/20,41,41
03/10/20,92,51
03/11/20,95,3
03/12/20,108,13
03/13/20,123,15
03/14/20,138,15
03/15/20,164,26
03/16/20,197,33
03/17/20,218,21
03/18/20,256,38
03/19/20,328,72
03/20/20,413,85
03/21/20,525,112
03/22/20,646,121
03/23/20,777,131
03/24/20,1159,382
03/25/20,1838,679
03/26/20,2417,579
03/27/20,3240,823
03/28/20,4257,1017
03/29/20,4955,698
03/30/20,5752,797
03/31/20,6620,868
04/01/20,7738,1118
04/02/20,8966,1228
